category_id,category_name,parent_category,description
1,Electronics - Mobile Phones,Electronics,Mobile Phones products under the Electronics department
2,Electronics - Laptops,Electronics,Laptops products under the Electronics department
3,Electronics - Headphones,Electronics,Headphones products under the Electronics department
4,Electronics - Cameras,Electronics,Cameras products under the Electronics department
5,Electronics - Smart Watches,Electronics,Smart Watches products under the Electronics department
6,Home & Kitchen - Cookware,Home & Kitchen,Cookware products under the Home & Kitchen department
7,Home & Kitchen - Furniture,Home & Kitchen,Furniture products under the Home & Kitchen department
8,Home & Kitchen - Home Decor,Home & Kitchen,Home Decor products under the Home & Kitchen department
9,Home & Kitchen - Storage & Organization,Home & Kitchen,Storage & Organization products under the Home & Kitchen department
10,Home & Kitchen - Lighting,Home & Kitchen,Lighting products under the Home & Kitchen department
11,Sports & Outdoors - Fitness Equipment,Sports & Outdoors,Fitness Equipment products under the Sports & Outdoors department
12,Sports & Outdoors - Cycling,Sports & Outdoors,Cycling products under the Sports & Outdoors department
13,Sports & Outdoors - Camping Gear,Sports & Outdoors,Camping Gear products under the Sports & Outdoors department
14,Sports & Outdoors - Team Sports,Sports & Outdoors,Team Sports products under the Sports & Outdoors department
15,Sports & Outdoors - Yoga,Sports & Outdoors,Yoga products under the Sports & Outdoors department
16,Fashion - Men's Clothing,Fashion,Men's Clothing products under the Fashion department
17,Fashion - Women's Clothing,Fashion,Women's Clothing products under the Fashion department
18,Fashion - Footwear,Fashion,Footwear products under the Fashion department
19,Fashion - Accessories,Fashion,Accessories products under the Fashion department
20,Fashion - Bags,Fashion,Bags products under the Fashion department
21,Beauty & Personal Care - Skincare,Beauty & Personal Care,Skincare products under the Beauty & Personal Care department
22,Beauty & Personal Care - Haircare,Beauty & Personal Care,Haircare products under the Beauty & Personal Care department
23,Beauty & Personal Care - Makeup,Beauty & Personal Care,Makeup products under the Beauty & Personal Care department
24,Beauty & Personal Care - Fragrances,Beauty & Personal Care,Fragrances products under the Beauty & Personal Care department
25,Beauty & Personal Care - Grooming,Beauty & Personal Care,Grooming products under the Beauty & Personal Care department
26,Books & Stationery - Fiction,Books & Stationery,Fiction products under the Books & Stationery department
27,Books & Stationery - Non-Fiction,Books & Stationery,Non-Fiction products under the Books & Stationery department
28,Books & Stationery - Office Supplies,Books & Stationery,Office Supplies products under the Books & Stationery department
29,Books & Stationery - Notebooks,Books & Stationery,Notebooks products under the Books & Stationery department
30,Books & Stationery - Art Supplies,Books & Stationery,Art Supplies products under the Books & Stationery department
31,Toys & Games - Action Figures,Toys & Games,Action Figures products under the Toys & Games department
32,Toys & Games - Board Games,Toys & Games,Board Games products under the Toys & Games department
33,Toys & Games - Puzzles,Toys & Games,Puzzles products under the Toys & Games department
34,Toys & Games - Educational Toys,Toys & Games,Educational Toys products under the Toys & Games department
35,Toys & Games - Outdoor Toys,Toys & Games,Outdoor Toys products under the Toys & Games department
36,Automotive - Car Accessories,Automotive,Car Accessories products under the Automotive department
37,Automotive - Motorcycle Gear,Automotive,Motorcycle Gear products under the Automotive department
38,Automotive - Car Care,Automotive,Car Care products under the Automotive department
39,Automotive - Tools,Automotive,Tools products under the Automotive department
40,Automotive - Tyres,Automotive,Tyres products under the Automotive department
41,Grocery - Snacks,Grocery,Snacks products under the Grocery department
42,Grocery - Beverages,Grocery,Beverages products under the Grocery department
43,Grocery - Staples,Grocery,Staples products under the Grocery department
44,Grocery - Dairy,Grocery,Dairy products under the Grocery department
45,Grocery - Organic Foods,Grocery,Organic Foods products under the Grocery department
46,Health & Wellness - Vitamins & Supplements,Health & Wellness,Vitamins & Supplements products under the Health & Wellness department
47,Health & Wellness - Medical Supplies,Health & Wellness,Medical Supplies products under the Health & Wellness department
48,Health & Wellness - Personal Hygiene,Health & Wellness,Personal Hygiene products under the Health & Wellness department
49,Health & Wellness - Ayurveda,Health & Wellness,Ayurveda products under the Health & Wellness department
50,Health & Wellness - Fitness Trackers,Health & Wellness,Fitness Trackers products under the Health & Wellness department
