order_item_id,order_id,product_id,quantity,unit_price
1,1,190,2,1365.17
2,1,160,4,85075.43
3,2,152,2,2649.78
4,2,127,5,3866.34
5,2,198,2,32623.46
6,3,2,1,28466.76
7,3,105,2,66514.84
8,4,163,3,50606.34
9,4,178,1,43233.33
10,4,3,4,47263.85
11,5,27,5,45846.59
12,5,53,2,84631.24
13,6,126,3,5771.74
14,6,16,1,45091.45
15,6,37,1,89767.59
16,7,134,3,5255.49
17,7,106,4,85609.12
18,8,149,1,31206.48
19,9,164,1,49531.15
20,9,101,5,61131.91
21,10,112,2,34429.33
22,11,75,3,54075.87
23,11,67,4,5567.2
24,12,82,2,24656.7
25,12,116,1,33803.65
26,12,70,2,9015.14
27,13,200,5,72800.42
28,13,198,1,32623.46
29,14,28,4,34583.38
30,14,43,4,89942.68
31,15,105,3,66514.84
32,15,31,2,21096.26
33,15,138,4,86449.75
34,16,119,1,27172.49
35,16,68,1,6705.82
36,17,176,5,30874.2
37,17,78,1,27876.72
38,18,84,1,27196.6
39,18,38,2,81316.82
40,19,102,3,34851.12
41,19,132,3,26677.03
42,19,13,2,23882.46
43,20,104,4,27930.41
44,21,25,1,71957.3
45,21,119,2,27172.49
46,22,4,1,1370.94
47,23,34,4,78395.87
48,23,51,3,67897.22
49,24,150,5,11351.81
50,25,20,1,9502.53
51,25,6,2,16673.29
52,26,33,1,78285.06
53,26,24,4,83496.78
54,26,85,1,44813.94
55,26,32,2,34807.48
56,27,186,1,84305.58
57,27,102,4,34851.12
58,27,128,4,17279.2
59,28,91,2,47800.37
60,28,55,3,10588.17
61,29,115,1,2496.65
62,29,39,5,22052.35
63,30,166,4,3717.92
64,30,76,4,76269.01
65,31,16,2,45091.45
66,31,23,4,32622.96
67,31,72,2,23013.59
68,31,99,5,80930.5
69,32,162,1,23875.11
70,32,140,4,89875.73
71,33,123,3,57245.8
72,33,140,5,89875.73
73,33,125,5,30534.4
74,34,100,1,89188.64
75,34,70,3,9015.14
76,34,47,5,59359.42
77,35,8,3,50269.77
78,35,200,1,72800.42
79,36,136,2,32656.34
80,36,92,2,73370.83
81,36,197,1,42426.44
82,36,150,2,11351.81
83,37,69,1,57012.6
84,37,137,2,7011.0
85,38,91,2,47800.37
86,38,45,5,70069.21
87,38,46,3,72192.68
88,39,152,3,2649.78
89,39,8,5,50269.77
90,39,181,5,83977.85
91,40,145,4,64725.38
92,40,49,5,11980.17
93,41,45,1,70069.21
94,41,126,1,5771.74
95,42,60,5,76337.18
96,43,6,4,16673.29
97,43,135,1,61059.19
98,44,158,3,85089.1
99,44,52,2,23873.83
100,44,34,3,78395.87
101,45,6,2,16673.29
102,46,199,5,29596.78
103,46,29,3,24117.82
104,47,96,4,40726.06
105,48,87,3,82911.5
106,49,35,4,58519.32
107,49,41,4,41414.39
108,49,188,3,88470.15
109,50,182,5,47839.63
110,50,144,3,72348.19
111,51,171,2,52103.84
112,51,151,4,84749.47
113,52,188,3,88470.15
114,52,177,2,50270.99
115,53,187,5,84300.13
116,53,1,4,29837.14
117,54,47,5,59359.42
118,55,157,5,21831.23
119,55,57,1,79697.7
120,55,164,4,49531.15
121,56,85,1,44813.94
122,56,191,2,80743.14
123,57,82,1,24656.7
124,57,43,3,89942.68
125,57,163,4,50606.34
126,58,68,2,6705.82
127,59,178,3,43233.33
128,59,18,3,51903.6
129,60,185,1,81722.53
130,61,99,4,80930.5
131,62,43,4,89942.68
132,62,106,3,85609.12
133,62,127,5,3866.34
134,63,26,2,89302.92
135,63,123,2,57245.8
136,63,148,4,74841.03
137,64,9,3,81773.54
138,65,82,3,24656.7
139,66,19,3,39285.06
140,67,97,1,8216.66
141,67,42,5,88888.89
142,68,87,5,82911.5
143,69,181,2,83977.85
144,69,8,5,50269.77
145,69,111,4,72794.29
146,69,168,2,66563.81
147,70,26,3,89302.92
148,71,49,5,11980.17
149,71,105,5,66514.84
150,72,170,3,65305.65
151,72,73,2,38924.7
152,73,13,4,23882.46
153,74,40,4,34489.73
154,74,14,1,74413.14
155,74,93,3,68442.36
156,74,1,5,29837.14
157,75,52,2,23873.83
158,75,25,3,71957.3
159,75,7,1,51973.2
160,75,53,4,84631.24
161,76,79,4,6354.73
162,77,126,5,5771.74
163,77,170,4,65305.65
164,77,68,2,6705.82
165,77,24,3,83496.78
166,78,95,1,56860.52
167,78,48,3,52202.69
168,78,115,4,2496.65
169,79,68,1,6705.82
170,79,58,2,19631.54
171,79,69,1,57012.6
172,79,145,1,64725.38
173,80,139,5,10685.71
174,80,106,2,85609.12
175,80,194,5,21342.6
176,81,100,5,89188.64
177,82,138,5,86449.75
178,82,176,2,30874.2
179,82,122,4,47160.26
180,83,21,1,73238.59
181,83,102,5,34851.12
182,84,31,4,21096.26
183,84,194,2,21342.6
184,85,55,2,10588.17
185,85,50,1,84981.48
186,86,21,2,73238.59
187,86,175,2,89830.25
188,86,112,5,34429.33
189,87,82,1,24656.7
190,87,187,1,84300.13
191,88,143,3,71305.7
192,88,102,3,34851.12
193,88,142,5,26202.57
194,89,4,5,1370.94
195,89,180,4,39868.61
196,89,160,1,85075.43
197,89,151,4,84749.47
198,90,38,5,81316.82
199,90,146,5,6766.44
200,91,28,5,34583.38
201,92,74,5,29734.17
202,93,106,4,85609.12
203,93,68,5,6705.82
204,93,99,5,80930.5
205,94,10,2,86412.78
206,94,45,5,70069.21
207,94,71,5,37300.84
208,94,104,4,27930.41
209,95,102,3,34851.12
210,96,13,4,23882.46
211,96,191,3,80743.14
212,97,6,3,16673.29
213,97,87,3,82911.5
214,97,78,4,27876.72
215,98,59,2,88007.04
216,99,191,3,80743.14
217,99,114,3,24622.94
218,100,155,2,37463.39
219,100,166,4,3717.92
220,100,23,2,32622.96
221,101,190,5,1365.17
222,101,125,3,30534.4
223,101,195,1,80570.14
224,102,17,5,22607.07
225,102,80,4,14250.09
226,103,200,5,72800.42
227,103,135,1,61059.19
228,104,50,1,84981.48
229,104,52,2,23873.83
230,105,117,1,82572.92
231,106,181,3,83977.85
232,106,51,4,67897.22
233,106,71,5,37300.84
234,107,163,1,50606.34
235,107,32,2,34807.48
236,107,175,3,89830.25
237,108,153,5,37550.15
238,108,115,5,2496.65
239,108,46,3,72192.68
240,108,122,3,47160.26
241,109,67,1,5567.2
242,109,192,3,88352.5
243,110,99,1,80930.5
244,111,147,2,49661.18
245,111,200,2,72800.42
246,112,174,3,45212.57
247,112,53,4,84631.24
248,113,200,1,72800.42
249,114,34,1,78395.87
250,114,166,2,3717.92
251,114,45,3,70069.21
252,114,154,5,22113.52
253,115,183,3,61338.16
254,115,182,4,47839.63
255,116,90,2,27992.68
256,116,118,4,7221.4
257,116,65,3,47394.09
258,117,150,5,11351.81
259,117,27,3,45846.59
260,117,2,5,28466.76
261,118,77,1,72668.2
262,118,176,4,30874.2
263,119,87,3,82911.5
264,120,71,3,37300.84
265,120,67,2,5567.2
266,120,168,2,66563.81
267,121,15,4,82914.21
268,121,154,3,22113.52
269,122,185,4,81722.53
270,122,7,3,51973.2
271,123,108,4,55660.03
272,123,104,1,27930.41
273,124,88,2,10453.09
274,124,186,5,84305.58
275,125,172,2,55813.25
276,125,92,5,73370.83
277,125,130,2,62315.96
278,125,77,3,72668.2
279,126,121,2,239.63
280,127,186,2,84305.58
281,127,144,3,72348.19
282,128,57,3,79697.7
283,129,191,4,80743.14
284,129,79,3,6354.73
285,130,67,4,5567.2
286,130,150,1,11351.81
287,130,76,4,76269.01
288,131,163,5,50606.34
289,132,121,2,239.63
290,133,175,4,89830.25
291,134,106,2,85609.12
292,134,14,2,74413.14
293,135,88,5,10453.09
294,135,105,4,66514.84
295,136,81,2,55642.65
296,136,184,1,79067.13
297,137,86,1,50328.25
298,137,162,1,23875.11
299,137,46,4,72192.68
300,137,81,3,55642.65
301,138,195,2,80570.14
302,138,199,5,29596.78
303,139,126,1,5771.74
304,139,196,2,86165.71
305,140,163,4,50606.34
306,140,110,4,40032.46
307,140,104,4,27930.41
308,141,10,5,86412.78
309,142,188,1,88470.15
310,142,96,3,40726.06
311,143,5,1,11451.53
312,143,174,2,45212.57
313,144,178,3,43233.33
314,144,89,2,39359.39
315,145,99,5,80930.5
316,146,43,1,89942.68
317,146,17,3,22607.07
318,147,117,5,82572.92
319,147,187,5,84300.13
320,148,112,3,34429.33
321,148,176,4,30874.2
322,148,35,3,58519.32
323,149,43,1,89942.68
324,149,104,2,27930.41
325,150,187,2,84300.13
326,150,34,1,78395.87
327,151,32,1,34807.48
328,151,94,4,40455.58
329,152,198,5,32623.46
330,152,137,1,7011.0
331,153,170,1,65305.65
332,154,13,1,23882.46
333,155,114,5,24622.94
334,155,98,3,58699.19
335,155,32,4,34807.48
336,156,53,1,84631.24
337,156,178,3,43233.33
338,157,170,3,65305.65
339,157,26,5,89302.92
340,157,134,5,5255.49
341,158,108,5,55660.03
342,158,27,5,45846.59
343,159,73,1,38924.7
344,160,128,2,17279.2
345,161,200,5,72800.42
346,161,68,2,6705.82
347,162,181,2,83977.85
348,162,105,1,66514.84
349,162,76,5,76269.01
350,163,54,2,50569.52
351,163,177,1,50270.99
352,163,124,1,59172.69
353,163,85,1,44813.94
354,164,147,4,49661.18
355,165,24,5,83496.78
356,165,200,1,72800.42
357,166,66,2,45394.1
358,167,76,1,76269.01
359,167,68,2,6705.82
360,167,119,1,27172.49
361,167,13,3,23882.46
362,168,174,1,45212.57
363,168,81,1,55642.65
364,168,110,1,40032.46
365,169,36,2,68369.22
366,170,92,3,73370.83
367,170,113,1,78682.11
368,170,160,3,85075.43
369,171,47,4,59359.42
370,171,30,4,31125.64
371,171,103,3,12813.41
372,172,177,2,50270.99
373,172,123,1,57245.8
374,172,108,2,55660.03
375,173,41,1,41414.39
376,174,152,4,2649.78
377,174,124,2,59172.69
378,174,146,5,6766.44
379,175,200,1,72800.42
380,175,92,2,73370.83
381,175,157,4,21831.23
382,176,29,1,24117.82
383,176,106,3,85609.12
384,176,113,3,78682.11
385,176,12,1,26283.21
386,177,172,5,55813.25
387,177,87,5,82911.5
388,178,111,2,72794.29
389,179,89,4,39359.39
390,179,170,2,65305.65
391,179,174,5,45212.57
392,179,165,5,50248.08
393,180,3,2,47263.85
394,181,127,4,3866.34
395,181,43,3,89942.68
396,181,20,2,9502.53
397,181,193,3,67861.72
398,182,13,2,23882.46
399,182,130,5,62315.96
400,183,104,4,27930.41
401,183,61,4,88994.0
402,183,21,5,73238.59
403,184,23,1,32622.96
404,184,128,4,17279.2
405,184,115,1,2496.65
406,184,81,1,55642.65
407,185,106,5,85609.12
408,185,10,1,86412.78
409,185,143,1,71305.7
410,186,131,2,54259.55
411,186,144,4,72348.19
412,187,94,4,40455.58
413,187,14,3,74413.14
414,187,58,5,19631.54
415,188,184,1,79067.13
416,188,169,1,73434.82
417,188,94,2,40455.58
418,188,116,1,33803.65
419,189,91,5,47800.37
420,189,163,5,50606.34
421,189,75,3,54075.87
422,190,12,2,26283.21
423,191,36,4,68369.22
424,191,184,1,79067.13
425,191,191,3,80743.14
426,191,185,5,81722.53
427,192,49,4,11980.17
