order_id,customer_id,employee_id,order_date,order_status,shipping_city
1,17,41,2025-06-09,Shipped,Jaipur
2,73,48,2024-02-29,Cancelled,Kanpur
3,40,1,2026-01-10,Shipped,Mumbai
4,33,1,2026-04-16,Cancelled,Mumbai
5,28,3,2025-08-15,Delivered,Lucknow
6,55,3,2024-12-18,Processing,Surat
7,8,3,2026-08-15,Shipped,Mumbai
8,5,41,2024-10-20,Delivered,Indore
9,99,41,2024-05-18,Delivered,Ahmedabad
10,49,39,2025-04-04,Shipped,Ahmedabad
11,11,8,2025-11-30,Cancelled,Mumbai
12,45,10,2024-05-01,Processing,Kanpur
13,51,8,2025-06-25,Cancelled,Bengaluru
14,29,1,2026-05-04,Returned,Coimbatore
15,3,48,2024-11-01,Cancelled,Lucknow
16,93,41,2025-07-11,Processing,Hyderabad
17,49,21,2026-04-23,Delivered,Ahmedabad
18,59,8,2024-12-20,Delivered,Mumbai
19,25,6,2026-06-15,Delivered,Ahmedabad
20,85,1,2025-03-05,Delivered,Kolkata
21,27,6,2024-03-09,Processing,Lucknow
22,5,2,2025-04-02,Delivered,Indore
23,95,39,2024-02-15,Shipped,Mumbai
24,30,15,2025-07-06,Returned,Delhi
25,100,8,2024-02-27,Processing,Lucknow
26,38,26,2024-08-27,Processing,Indore
27,77,26,2026-03-02,Delivered,Lucknow
28,39,8,2026-06-16,Cancelled,Kolkata
29,67,41,2024-08-14,Delivered,Indore
30,36,10,2024-03-03,Cancelled,Kanpur
31,87,50,2025-03-13,Delivered,Ahmedabad
32,45,39,2025-10-20,Returned,Kanpur
33,68,41,2024-11-22,Shipped,Jaipur
34,20,39,2024-11-03,Delivered,Chennai
35,97,50,2025-07-04,Delivered,Nagpur
36,29,8,2024-11-03,Returned,Coimbatore
37,60,2,2026-07-25,Processing,Bengaluru
38,53,8,2025-03-02,Shipped,Mumbai
39,32,15,2024-09-18,Delivered,Ahmedabad
40,83,48,2024-03-21,Returned,Chennai
41,48,15,2024-04-04,Delivered,Pune
42,35,2,2025-01-21,Returned,Coimbatore
43,10,15,2024-07-11,Shipped,Lucknow
44,27,26,2026-06-09,Delivered,Lucknow
45,2,15,2024-08-04,Cancelled,Kanpur
46,16,50,2026-02-03,Delivered,Ahmedabad
47,90,15,2025-09-10,Shipped,Coimbatore
48,31,26,2025-07-19,Returned,Delhi
49,37,48,2025-01-24,Processing,Bengaluru
50,84,25,2025-01-02,Delivered,Indore
51,47,50,2025-06-09,Shipped,Nagpur
52,13,50,2026-04-02,Returned,Delhi
53,41,15,2026-07-25,Delivered,Bengaluru
54,41,2,2025-02-27,Processing,Bengaluru
55,29,8,2026-01-29,Delivered,Coimbatore
56,34,41,2025-07-20,Delivered,Indore
57,20,26,2024-07-19,Delivered,Chennai
58,49,21,2025-08-06,Shipped,Ahmedabad
