payment_id,order_id,payment_date,amount,payment_method,payment_status
1,1,2025-06-09,343032.06,Credit Card,Completed
2,2,2024-03-01,89878.18,Wallet,Refunded
3,3,2026-01-10,161496.44,Cash on Delivery,Completed
4,4,2026-04-16,384107.75,Wallet,Refunded
5,5,2025-08-16,398495.43,Cash on Delivery,Completed
6,6,2024-12-19,152174.26,Credit Card,Completed
7,7,2026-08-16,358202.95,Debit Card,Completed
8,8,2024-10-21,31206.48,Net Banking,Completed
9,9,2024-05-19,355190.7,Cash on Delivery,Completed
10,10,2025-04-04,68858.66,Net Banking,Completed
11,11,2025-11-30,184496.41,UPI,Refunded
12,12,2024-05-02,101147.33,Credit Card,Completed
13,13,2025-06-26,396625.56,Cash on Delivery,Refunded
14,14,2026-05-05,498104.24,UPI,Refunded
15,15,2024-11-01,587536.04,Credit Card,Refunded
16,16,2025-07-11,33878.31,Credit Card,Completed
17,17,2026-04-23,182247.72,Net Banking,Completed
18,18,2024-12-20,189830.24,Wallet,Completed
19,19,2026-06-16,232349.37,Net Banking,Completed
20,20,2025-03-06,111721.64,Credit Card,Completed
21,21,2024-03-09,126302.28,Cash on Delivery,Completed
22,22,2025-04-03,1370.94,UPI,Completed
23,23,2024-02-16,517275.14,Cash on Delivery,Completed
24,24,2025-07-07,56759.05,Cash on Delivery,Refunded
25,25,2024-02-28,42849.11,Net Banking,Completed
26,26,2024-08-27,526701.08,Cash on Delivery,Completed
27,27,2026-03-03,292826.86,Debit Card,Completed
28,28,2026-06-17,127365.25,Cash on Delivery,Refunded
29,29,2024-08-15,112758.4,UPI,Completed
30,30,2024-03-04,319947.72,Cash on Delivery,Refunded
31,31,2025-03-14,671354.42,Wallet,Completed
32,32,2025-10-21,383378.03,Wallet,Refunded
33,33,2024-11-22,773788.05,Wallet,Completed
34,34,2024-11-03,413031.16,Wallet,Completed
35,35,2025-07-04,223609.73,Net Banking,Completed
36,36,2024-11-03,277184.4,Credit Card,Refunded
37,37,2026-07-25,71034.6,UPI,Completed
38,38,2025-03-02,662524.83,Debit Card,Completed
39,39,2024-09-19,679187.44,Wallet,Completed
40,40,2024-03-21,318802.37,Credit Card,Refunded
41,41,2024-04-04,75840.95,Net Banking,Completed
42,42,2025-01-22,381685.9,Credit Card,Refunded
43,43,2024-07-11,127752.35,UPI,Completed
44,44,2026-06-09,538202.57,UPI,Completed
45,45,2024-08-04,33346.58,Cash on Delivery,Refunded
46,46,2026-02-03,220337.36,Wallet,Completed
47,47,2025-09-11,162904.24,Net Banking,Completed
48,48,2025-07-20,248734.5,Wallet,Refunded
49,49,2025-01-24,665145.29,Debit Card,Completed
50,50,2025-01-03,456242.72,Net Banking,Completed
51,51,2025-06-09,443205.56,Debit Card,Completed
52,52,2026-04-03,365952.43,Debit Card,Refunded
53,53,2026-07-25,540849.21,Cash on Delivery,Completed
54,54,2025-02-27,296797.1,Wallet,Completed
55,55,2026-01-29,386978.45,UPI,Completed
56,56,2025-07-20,206300.22,Wallet,Completed
57,57,2024-07-19,496910.1,Debit Card,Completed
58,58,2025-08-06,13411.64,UPI,Completed
59,59,2025-11-02,285410.79,UPI,Completed
60,60,2026-04-22,81722.53,Net Banking,Refunded
61,61,2026-01-27,323722.0,Cash on Delivery,Completed
62,62,2026-01-20,635929.78,Wallet,Completed
63,63,2026-01-07,592461.56,Credit Card,Completed
64,64,2025-10-20,245320.62,Cash on Delivery,Completed
65,65,2026-05-10,73970.1,UPI,Refunded
66,66,2024-02-20,117855.18,Debit Card,Completed
67,67,2026-05-12,452661.11,Net Banking,Completed
68,68,2024-06-04,414557.5,Cash on Delivery,Completed
69,69,2025-04-11,843609.33,UPI,Completed
70,70,2025-10-15,267908.76,Net Banking,Refunded
71,71,2024-01-17,392475.05,Cash on Delivery,Completed
72,72,2025-02-26,273766.35,UPI,Completed
73,73,2026-01-09,95529.84,UPI,Completed
74,74,2024-01-19,566884.84,Wallet,Refunded
75,75,2024-04-20,654117.72,Cash on Delivery,Completed
