shipment_id,order_id,carrier,shipment_date,delivery_date,shipment_status
1,1,DTDC,2025-06-10,,In Transit
2,3,Delhivery,2026-01-11,,In Transit
3,5,BlueDart,2025-08-18,2025-08-19,Delivered
4,7,Delhivery,2026-08-18,,In Transit
5,8,Delhivery,2024-10-23,2024-10-27,Delivered
6,9,India Post,2024-05-19,2024-05-24,Delivered
7,10,Ekart,2025-04-05,,In Transit
8,14,Ekart,2026-05-07,2026-05-09,Returned
9,17,FedEx,2026-04-26,2026-05-01,Delivered
10,18,India Post,2024-12-23,2024-12-24,Delivered
11,19,India Post,2026-06-18,2026-06-21,Delivered
12,20,India Post,2025-03-07,2025-03-13,Delivered
13,22,Delhivery,2025-04-04,2025-04-05,Delivered
14,23,Ekart,2024-02-16,,In Transit
15,24,DTDC,2025-07-08,2025-07-13,Returned
16,27,Ekart,2026-03-05,2026-03-07,Delivered
17,29,DTDC,2024-08-17,2024-08-21,Delivered
18,31,DTDC,2025-03-15,2025-03-20,Delivered
19,32,India Post,2025-10-22,2025-10-26,Returned
20,33,India Post,2024-11-24,,In Transit
21,34,Delhivery,2024-11-05,2024-11-10,Delivered
22,35,Delhivery,2025-07-07,2025-07-12,Delivered
23,36,Ekart,2024-11-05,2024-11-12,Returned
24,38,DTDC,2025-03-05,,In Transit
25,39,FedEx,2024-09-20,2024-09-24,Delivered
26,40,India Post,2024-03-23,2024-03-24,Returned
27,41,Ekart,2024-04-05,2024-04-08,Delivered
28,42,Delhivery,2025-01-22,2025-01-27,Returned
29,43,BlueDart,2024-07-13,,In Transit
30,44,Delhivery,2026-06-11,2026-06-13,Delivered
31,46,India Post,2026-02-05,2026-02-06,Delivered
32,47,Ekart,2025-09-12,,In Transit
33,48,Ekart,2025-07-22,2025-07-27,Returned
34,50,BlueDart,2025-01-05,2025-01-07,Delivered
35,51,FedEx,2025-06-10,,In Transit
36,52,Delhivery,2026-04-04,2026-04-06,Returned
37,53,Ekart,2026-07-27,2026-07-30,Delivered
38,55,DTDC,2026-01-30,2026-02-01,Delivered
39,56,Ekart,2025-07-22,2025-07-23,Delivered
40,57,Delhivery,2024-07-21,2024-07-26,Delivered
41,58,BlueDart,2025-08-09,,In Transit
42,59,FedEx,2025-11-04,2025-11-07,Delivered
43,61,FedEx,2026-01-28,,In Transit
44,62,Ekart,2026-01-23,2026-01-29,Delivered
45,63,India Post,2026-01-08,2026-01-13,Delivered
46,65,India Post,2026-05-11,2026-05-12,Returned
47,66,FedEx,2024-02-22,,In Transit
48,67,BlueDart,2026-05-13,2026-05-20,Delivered
49,68,FedEx,2024-06-05,2024-06-08,Delivered
50,69,BlueDart,2025-04-13,2025-04-20,Delivered
51,72,India Post,2025-02-26,2025-03-04,Delivered
52,74,India Post,2024-01-21,2024-01-22,Returned
53,77,BlueDart,2024-09-18,2024-09-22,Delivered
54,78,Ekart,2024-03-23,,In Transit
55,81,Ekart,2026-02-17,2026-02-20,Delivered
56,84,DTDC,2024-03-28,2024-03-30,Returned
57,86,Delhivery,2026-07-08,2026-07-14,Delivered
58,87,India Post,2026-07-12,2026-07-13,Delivered
59,89,FedEx,2026-07-12,2026-07-16,Delivered
60,91,Ekart,2026-02-12,2026-02-17,Delivered
61,93,Delhivery,2025-11-25,,In Transit
62,94,FedEx,2026-01-29,2026-02-01,Returned
63,96,DTDC,2024-12-21,2024-12-23,Delivered
64,97,Ekart,2024-08-26,2024-08-30,Delivered
65,98,Ekart,2026-03-01,2026-03-02,Returned
66,99,BlueDart,2024-02-02,2024-02-05,Returned
67,100,FedEx,2025-05-19,2025-05-24,Delivered
68,101,Delhivery,2025-01-22,2025-01-24,Delivered
69,102,Delhivery,2025-08-24,2025-08-29,Delivered
70,103,India Post,2025-09-27,2025-10-01,Returned
71,104,Ekart,2026-01-03,2026-01-05,Delivered
72,106,Ekart,2024-06-09,2024-06-15,Delivered
73,107,BlueDart,2024-04-20,2024-04-22,Delivered
74,108,FedEx,2025-04-02,2025-04-09,Returned
75,109,Ekart,2024-04-16,2024-04-22,Delivered
76,111,India Post,2025-06-09,2025-06-10,Delivered
77,113,DTDC,2025-09-05,2025-09-09,Returned
78,114,Delhivery,2024-01-15,,In Transit
79,117,Ekart,2024-06-24,2024-06-27,Delivered
80,118,DTDC,2024-10-05,2024-10-06,Delivered
81,119,Ekart,2024-05-30,2024-06-02,Delivered
82,120,Delhivery,2024-10-11,2024-10-16,Delivered
83,121,Delhivery,2026-03-14,2026-03-15,Delivered
84,123,DTDC,2024-07-20,2024-07-26,Delivered
85,124,India Post,2024-11-08,,In Transit
86,125,India Post,2026-05-12,2026-05-13,Returned
87,126,Delhivery,2025-03-27,,In Transit
88,127,DTDC,2025-09-03,2025-09-05,Delivered
89,128,DTDC,2025-09-10,,In Transit
90,129,BlueDart,2024-07-03,2024-07-10,Delivered
91,131,FedEx,2024-12-01,2024-12-05,Delivered
92,135,DTDC,2025-12-27,,In Transit
93,136,Ekart,2026-05-02,2026-05-08,Returned
94,137,Ekart,2025-11-21,2025-11-23,Delivered
95,138,DTDC,2024-11-09,2024-11-16,Delivered
96,139,Ekart,2024-06-09,2024-06-13,Returned
97,144,India Post,2025-09-03,2025-09-05,Delivered
98,145,BlueDart,2024-09-14,2024-09-20,Delivered
99,147,India Post,2025-11-26,2025-12-01,Returned
100,148,DTDC,2026-03-29,2026-03-30,Delivered
101,149,DTDC,2024-04-11,2024-04-12,Delivered
102,150,India Post,2026-02-04,,In Transit
103,151,BlueDart,2025-02-07,2025-02-10,Returned
104,152,BlueDart,2025-08-27,2025-09-02,Delivered
105,153,India Post,2025-05-10,2025-05-14,Delivered
106,154,India Post,2026-08-02,2026-08-08,Delivered
107,155,BlueDart,2024-05-27,2024-06-03,Delivered
108,157,India Post,2024-12-23,2024-12-26,Delivered
109,158,FedEx,2026-01-11,2026-01-13,Delivered
110,159,BlueDart,2024-11-06,2024-11-12,Returned
111,160,Ekart,2024-04-29,2024-05-03,Returned
112,163,Delhivery,2025-07-22,2025-07-23,Delivered
113,164,FedEx,2025-03-13,2025-03-18,Delivered
114,165,BlueDart,2025-10-09,2025-10-15,Delivered
115,166,Delhivery,2025-11-05,,In Transit
116,167,DTDC,2026-01-28,,In Transit
117,168,FedEx,2025-03-17,2025-03-21,Delivered
118,169,BlueDart,2024-08-10,2024-08-12,Delivered
119,171,DTDC,2026-03-31,2026-04-06,Delivered
120,172,DTDC,2024-07-22,2024-07-28,Delivered
121,175,DTDC,2025-08-25,2025-08-30,Delivered
122,178,DTDC,2024-03-28,2024-04-03,Delivered
123,179,BlueDart,2024-09-03,2024-09-10,Delivered
124,182,DTDC,2025-03-12,,In Transit
125,184,DTDC,2025-05-17,2025-05-19,Delivered
126,186,Delhivery,2026-06-07,2026-06-13,Delivered
127,187,FedEx,2024-05-20,2024-05-26,Returned
128,188,India Post,2025-08-01,,In Transit
129,190,India Post,2025-05-18,2025-05-25,Delivered
130,191,FedEx,2024-02-04,2024-02-06,Delivered
131,195,Delhivery,2024-04-26,2024-05-01,Delivered
132,199,Ekart,2026-02-10,2026-02-13,Delivered
133,200,Ekart,2025-04-07,2025-04-11,Delivered
134,201,India Post,2025-03-26,2025-03-28,Returned
135,202,Ekart,2024-08-03,2024-08-08,Returned
136,203,Delhivery,2025-09-19,2025-09-26,Delivered
137,204,India Post,2024-05-23,2024-05-26,Returned
138,208,Delhivery,2024-10-26,2024-10-31,Returned
139,209,Delhivery,2026-07-12,2026-07-19,Delivered
140,210,Delhivery,2026-03-18,2026-03-23,Delivered
141,213,Ekart,2026-04-30,2026-05-01,Returned
142,214,BlueDart,2025-02-09,2025-02-15,Delivered
143,216,Delhivery,2025-01-20,2025-01-23,Delivered
144,217,BlueDart,2026-03-27,,In Transit
145,219,FedEx,2025-04-12,2025-04-16,Delivered
146,221,India Post,2025-10-14,2025-10-18,Returned
147,222,DTDC,2026-03-28,2026-04-03,Delivered
148,223,Delhivery,2026-04-25,,In Transit
149,224,Delhivery,2024-11-27,2024-11-29,Delivered
150,227,Ekart,2024-02-20,2024-02-27,Delivered
151,228,Ekart,2026-03-16,2026-03-19,Delivered
152,229,Ekart,2026-08-12,,In Transit
153,230,Delhivery,2024-01-02,2024-01-07,Delivered
154,232,BlueDart,2024-06-12,2024-06-18,Delivered
155,233,India Post,2025-01-06,2025-01-07,Delivered
156,234,Ekart,2025-11-13,2025-11-15,Delivered
157,236,FedEx,2026-02-15,,In Transit
158,237,DTDC,2024-04-06,2024-04-12,Delivered
159,238,FedEx,2025-05-04,2025-05-11,Delivered
160,239,Delhivery,2024-08-21,2024-08-25,Delivered
161,240,Delhivery,2025-12-14,2025-12-16,Returned
162,242,BlueDart,2025-05-05,2025-05-09,Delivered
163,243,Delhivery,2024-04-03,2024-04-07,Delivered
164,244,Delhivery,2025-01-14,2025-01-20,Delivered
165,247,BlueDart,2024-01-10,,In Transit
166,250,Ekart,2025-03-30,2025-04-03,Delivered
167,252,India Post,2025-01-30,,In Transit
168,253,FedEx,2026-03-23,2026-03-30,Delivered
169,254,FedEx,2025-10-23,2025-10-27,Delivered
170,255,India Post,2025-09-08,2025-09-13,Returned
171,256,DTDC,2024-01-30,2024-02-05,Delivered
172,258,India Post,2024-10-31,2024-11-05,Returned
173,259,Ekart,2025-05-24,2025-05-29,Delivered
174,261,India Post,2025-01-07,2025-01-13,Delivered
175,262,BlueDart,2026-06-01,2026-06-06,Delivered
176,263,BlueDart,2025-12-02,2025-12-06,Returned
177,264,Ekart,2026-02-28,2026-03-05,Delivered
178,265,BlueDart,2024-03-12,2024-03-18,Delivered
179,266,Ekart,2024-02-13,2024-02-17,Returned
180,268,BlueDart,2025-05-31,,In Transit
181,270,FedEx,2025-07-05,2025-07-08,Delivered
182,273,DTDC,2025-02-06,2025-02-09,Delivered
183,274,FedEx,2025-03-25,2025-03-27,Delivered
184,275,BlueDart,2024-03-31,2024-04-05,Delivered
185,276,Delhivery,2025-09-21,2025-09-26,Delivered
186,277,India Post,2026-01-31,2026-02-07,Delivered
187,279,India Post,2024-06-18,2024-06-19,Delivered
188,280,Delhivery,2025-06-16,2025-06-17,Delivered
189,282,Ekart,2026-03-03,2026-03-09,Delivered
190,283,FedEx,2024-10-06,2024-10-10,Delivered
191,284,FedEx,2025-08-15,,In Transit
192,285,FedEx,2025-06-08,2025-06-10,Delivered
193,286,Delhivery,2026-06-01,2026-06-07,Delivered
194,288,DTDC,2026-01-12,2026-01-13,Delivered
195,289,India Post,2025-06-07,2025-06-13,Delivered
196,290,Delhivery,2024-09-10,,In Transit
197,291,BlueDart,2025-01-30,2025-02-05,Delivered
198,292,India Post,2025-07-21,2025-07-22,Delivered
199,295,DTDC,2024-05-04,2024-05-10,Delivered
200,296,Ekart,2026-04-04,,In Transit
201,297,India Post,2026-06-20,2026-06-24,Returned
202,298,Delhivery,2026-03-06,2026-03-11,Delivered
203,299,FedEx,2025-07-22,2025-07-27,Delivered
