supplier_id,supplier_name,contact_email,city,country,rating,is_active
1,Taylor Inc,garzaanthony@robinson.org,North Judithbury,UAE,2.8,1
2,Hoffman Ltd,lrobinson@pacheco-smith.com,Hyderabad,India,2.8,1
3,Bernard LLC,daviscolin@munoz-roman.info,Petersonberg,Italy,4.4,1
4,"Montgomery, Hensley and Ray",williamsjeremy@galloway-wyatt.com,South Christianport,Germany,3.6,1
5,Ramirez-Reid,francisco53@adams.org,Hyderabad,India,3.1,1
6,Ford LLC,gabriellecameron@perez.com,New Jessica,China,3.0,0
7,Adams-Clark,jason76@ellis.net,Pune,India,4.0,1
8,"Baker, Richards and Hurst",icox@snyder.com,Kanpur,India,3.6,1
9,"Moore, Becker and Carlson",djames@king.com,Hyderabad,India,4.9,1
10,"Dyer, Potter and Mack",daniel62@smith-bowen.com,Delhi,India,3.4,1
11,"Gill, Romero and Rodriguez",meagan89@hernandez.net,Surat,India,3.2,1
12,"Sellers, George and Burns",hickmannatasha@allen-allen.org,Jaipur,India,2.8,0
13,Miller Group,spenceamanda@anderson.net,Jaipur,India,3.2,1
14,"Henderson, Lewis and Ryan",jenniferross@santos.com,West Allison,USA,3.0,1
15,Walker LLC,chapmanjerry@smith.com,Lucknow,India,3.1,1
16,Jones Inc,chad34@washington.org,Indore,India,3.1,1
17,"Kennedy, Mueller and Aguirre",clintonhopkins@henderson-owens.com,Ahmedabad,India,3.6,1
18,"Valdez, Lucas and Brown",lauren13@lee.com,Chennai,India,3.4,1
19,Baxter Inc,jmorton@williams.com,Whitemouth,Turkey,4.8,1
20,Tucker-Lewis,kbarrera@smith-myers.info,Port Melindaburgh,Vietnam,4.1,1
21,Henderson-Bernard,smoore@novak.net,Pune,India,3.4,1
22,"Woods, Calhoun and Schmidt",yuchristopher@jones.com,Lake Leeton,Italy,3.3,1
23,Wilson-Zamora,bethwilliams@barnes.org,Indore,India,2.6,1
24,"Stewart, Green and Santiago",john62@brewer.com,Ahmedabad,India,2.7,1
25,Ellis PLC,jonesjason@anderson-bailey.com,Lucknow,India,3.7,0
26,Wood and Sons,tbass@carr-archer.net,Ahmedabad,India,2.8,1
27,"Garcia, Humphrey and Baker",newtoneric@jacobs-robbins.com,Lake Lisaport,Germany,3.6,0
28,"Walters, Baker and Freeman",davisrodney@williams-cook.com,Hyderabad,India,5.0,1
29,"Whitney, Martin and Ramos",hhoffman@landry.com,Pune,India,2.7,1
30,"Johnson, Wood and Tran",tanderson@nolan-flynn.com,Bengaluru,India,4.1,0
31,"Garcia, Deleon and Henson",vdickson@frost.com,Jasonbury,Vietnam,2.7,0
32,"Middleton, Patton and Jenkins",josephcobb@reyes.info,South Angel,Vietnam,5.0,1
33,Bailey-Hoover,jeffreykeller@murphy-lin.com,East Lisa,China,4.7,1
34,"Zavala, Herrera and Crosby",wileyjose@estes.biz,Darlenefurt,Italy,4.3,1
35,Obrien-Dixon,mlam@williams-graham.net,Jessicamouth,Japan,3.4,1
36,"Mcdaniel, Bentley and Mclaughlin",michaeljones@mccall.com,Bengaluru,India,3.6,1
37,"Mccullough, Hunter and Estrada",richard48@lee.biz,Nagpur,India,2.9,1
38,Kelley-Smith,jason99@morris.net,New Ashley,UAE,3.2,1
39,Leon-Moyer,donnacampbell@schultz.com,Chennai,India,4.4,1
40,Johnson and Sons,xcarr@gibson.org,Jeffreyborough,Vietnam,3.3,1
41,Higgins Group,jross@watts.com,Coimbatore,India,3.4,1
42,Robinson-Brock,pwilliams@bryant.net,Mumbai,India,3.1,1
43,"Larson, Dodson and Vance",jrivas@merritt-manning.info,Kanpur,India,3.7,1
44,Green-Wright,katie87@allen.com,Nagpur,India,2.8,0
45,Taylor and Sons,tbenson@brown.com,Matthewside,China,2.9,0
46,"Owens, Brown and Wall",lstein@smith.info,Coimbatore,India,3.8,1
47,Bender LLC,acastaneda@adkins.com,Kolkata,India,5.0,1
48,Robinson-Graham,priceelizabeth@ramsey-pittman.com,Coimbatore,India,3.8,1
49,"Ferguson, Meadows and Vargas",millerroy@white-green.com,Hyderabad,India,2.7,1
50,Ramirez-Bean,fking@smith-ryan.com,South Mark,Germany,3.9,1
